filename,line_count,tc_min,tc_max,tc_avg
..\Data\Models\PyTorch\CV\Inception.py,364,0.0,1.0,0.12036163256160186
..\Data\Models\PyTorch\CV\ResNet.py,248,0.0,1.0,0.09786551441341304
..\Data\Models\PyTorch\CV\VGG.py,99,0.0,0.9090909090909091,0.18408116081982964
..\Data\Models\PyTorch\NLP\BERT\bert_model.py,1526,0.0,1.0,0.0613885435228357
..\Data\Models\PyTorch\NLP\GNMT\attention.py,119,0.0,0.7000000000000001,0.13946584270371679
..\Data\Models\PyTorch\NLP\GNMT\decoder.py,173,0.09090909090909093,0.3636363636363637,0.178732670837934
..\Data\Models\PyTorch\NLP\GNMT\encoder.py,72,0.0,0.0,0.0
..\Data\Models\PyTorch\NLP\GNMT\gnmt.py,41,0.0,0.0,0.0
..\Data\Models\PyTorch\NLP\GNMT\seq2seq_base.py,54,0.0,0.0,0.0
..\Data\Models\PyTorch\SR\DeepSpeech2\decoder.py,145,0.0,0.9375,0.18256640694555332
..\Data\Models\PyTorch\SR\DeepSpeech2\model.py,265,0.0,0.8846153846153846,0.08666021082882895
..\Data\Models\PyTorch\SR\DeepSpeech2\training.py,38,0.35714285714285715,0.7142857142857143,0.5238095238095238
..\Data\Models\PyTorch\SR\DeepSpeech2\utils.py,55,0.0,0.7,0.19306878306878308
..\Data\Models\PyTorch\SR\DeepSpeech2\validation.py,143,0.0,0.0,0.0
..\Data\Models\PyTorch\SR\tacotron2\arg_parse.py,63,0.0,0.0,0.0
..\Data\Models\PyTorch\SR\tacotron2\data_function.py,103,0.04545454545454547,0.4000000000000002,0.17412587412587416
..\Data\Models\PyTorch\SR\tacotron2\entrypoint.py,115,0.0,0.2222222222222222,0.02973959897013201
..\Data\Models\PyTorch\SR\tacotron2\loss_function.py,15,0.0,0.0,0.0
..\Data\Models\PyTorch\SR\tacotron2\model.py,544,0.04347826086956522,0.14285714285714285,0.0837053428392101
